group,decision,total_paths,ready_paths,direct_hosted_oauth_paths,local_bridge_paths,blocked_or_unproven_paths,category_counts
assistants,usable_without_platform_key,2,2,0,2,0,"{""local_compat_or_chatgpt_backend_bridge"": 2}"
audio,usable_without_platform_key,6,6,1,5,0,"{""direct_official_oauth_verified"": 1, ""local_compat_or_chatgpt_backend_bridge"": 5}"
batches,usable_without_platform_key,3,3,0,3,0,"{""local_compat_or_chatgpt_backend_bridge"": 3}"
chat,usable_without_platform_key,3,3,0,3,0,"{""local_compat_or_chatgpt_backend_bridge"": 3}"
chatkit,usable_without_platform_key,5,5,0,5,0,"{""local_compat_or_chatgpt_backend_bridge"": 5}"
completions,usable_without_platform_key,1,1,0,1,0,"{""local_compat_or_chatgpt_backend_bridge"": 1}"
containers,usable_without_platform_key,5,5,0,5,0,"{""local_compat_or_chatgpt_backend_bridge"": 5}"
conversations,usable_without_platform_key,4,4,0,4,0,"{""local_compat_or_chatgpt_backend_bridge"": 4}"
embeddings,usable_without_platform_key,1,1,1,0,0,"{""direct_official_oauth_verified"": 1}"
evals,usable_without_platform_key,6,6,0,6,0,"{""local_compat_or_chatgpt_backend_bridge"": 6}"
files,usable_without_platform_key,3,3,0,3,0,"{""local_compat_or_chatgpt_backend_bridge"": 3}"
fine_tuning,usable_without_platform_key,11,11,0,11,0,"{""local_compat_or_chatgpt_backend_bridge"": 11}"
images,usable_without_platform_key,3,3,0,3,0,"{""local_compat_or_chatgpt_backend_bridge"": 3}"
models,usable_without_platform_key,2,2,0,2,0,"{""local_compat_or_chatgpt_backend_bridge"": 2}"
moderations,usable_without_platform_key,1,1,0,1,0,"{""local_compat_or_chatgpt_backend_bridge"": 1}"
organization/admin,usable_without_platform_key,25,25,0,25,0,"{""local_compat_or_chatgpt_backend_bridge"": 25}"
organization/projects,usable_without_platform_key,21,21,0,21,0,"{""local_compat_or_chatgpt_backend_bridge"": 21}"
organization/usage,usable_without_platform_key,10,10,0,10,0,"{""local_compat_or_chatgpt_backend_bridge"": 10}"
projects,usable_without_platform_key,6,6,0,6,0,"{""local_compat_or_chatgpt_backend_bridge"": 6}"
realtime,usable_without_platform_key,9,9,3,6,0,"{""direct_official_oauth_verified"": 3, ""local_compat_or_chatgpt_backend_bridge"": 6}"
responses,usable_without_platform_key,6,6,0,6,0,"{""local_compat_or_chatgpt_backend_bridge"": 6}"
skills,usable_without_platform_key,6,6,0,6,0,"{""local_compat_or_chatgpt_backend_bridge"": 6}"
threads,usable_without_platform_key,11,11,0,11,0,"{""local_compat_or_chatgpt_backend_bridge"": 11}"
uploads,usable_without_platform_key,4,4,0,4,0,"{""local_compat_or_chatgpt_backend_bridge"": 4}"
vector_stores,usable_without_platform_key,10,10,0,10,0,"{""local_compat_or_chatgpt_backend_bridge"": 10}"
videos,usable_without_platform_key,8,8,0,8,0,"{""local_compat_or_chatgpt_backend_bridge"": 8}"
